text,label
"Government announces new education policy for 2026.",REAL
"Scientists discover a new planet similar to Earth.",REAL
"India wins the cricket series after a thrilling match.",REAL
"New AI technology helps doctors detect diseases early.",REAL
"Stock market reaches a record high this week.",REAL
"Researchers develop a vaccine for a rare disease.",REAL
"Local elections conclude peacefully across the state.",REAL
"NASA launches a new satellite into orbit.",REAL
"Banks introduce improved online security measures.",REAL
"Heavy rainfall expected in coastal areas tomorrow.",REAL
"Aliens landed in Hyderabad and met government officials.",FAKE
"Drinking only coffee for a week will cure diabetes.",FAKE
"The moon disappeared for 24 hours yesterday.",FAKE
"Dinosaurs have been found alive in a remote forest.",FAKE
"Mobile phones can charge themselves using sunlight at night.",FAKE
"Humans can live without sleep for one month safely.",FAKE
"Eating chocolate every day guarantees weight loss.",FAKE
"Earth will stop rotating next Friday.",FAKE
"Invisible cars are now available for sale.",FAKE
"Time travel machines are available in shopping malls.",FAKE